day,time,str
20151020,489,11000010010101011100
20151020,490,11000010010101010100
20151020,491,10000010011101111100
20151020,492,11000010011001011110
20151020,493,11100010011100011110
20151020,494,11000010010100011100
20151020,495,11000110011100011100
20151020,496,11000110011100011110
20151020,497,11000110001101011110
20151020,498,11000110001101011100
20151020,499,11000010011110011100
20151020,500,11100010011000011111
20151020,501,11000010011101011110
20151020,502,11000010011111011110
20151020,503,11000010011111011101
20151020,504,11000010011111011111
20151020,505,11000010011101011110
20151020,506,11000010011111011110
20151020,507,11000010111111011100
20151020,508,11000010010110011110
20151020,509,11000010011111011110
20151021,450,11100010011011001100
20151021,451,01010010111011001100
20151021,452,11000010101011011100
20151021,453,11010010011111011100
20151021,454,11000000010011001100
20151021,455,11110110011011001100
20151021,456,11000100011011001000
20151021,457,11000000110011001100
20151021,458,11100110000111001000
20151021,459,11000000011011001110
20151021,460,11010010001011001100
20151021,461,11000010101011001100
20151021,462,11010000101011001100
20151021,463,11100011100111001100
20151021,464,11000110101111001100
20151021,465,11000010101110001100
20151021,466,11000110111111001100
20151021,467,11000010111011001100
20151021,468,11000010111111011100
20151021,469,11000110111111001100
20151021,470,11000110111111001100
20151021,471,11000010011111001100
20151021,472,01000010110011001100
20151021,473,01000010101111001100
20151021,474,11100010101111001100
20151021,475,01100010111111001100
20151021,476,11000010111111001100
20151021,477,10100010111111001100
20151021,478,11000010111111001100
20151021,479,10100010111111001100
20151021,480,10100110111111011110
20151021,481,11100110111111001100
20151021,482,00000110111111001100
20151021,483,11000010111111001100
20151021,484,11000110111111001100
20151021,485,11000110101111011100
20151021,486,11000110111111011100
20151021,487,10000110101111011100
20151021,488,11000110111111011100
20151021,489,11000110111111011100
20151021,490,10000110101111011100
20151021,491,01000110101111011100
20151021,492,00000110111111011100
20151021,493,01000010101111011100
20151021,494,01010100100111011100
20151021,495,01010100101111011100
20151021,496,10000110100111011100
20151021,497,10000110111111011100
20151021,498,10000110110111011110
20151021,499,10000110110111011101
20151021,500,10000110110111011100
20151021,501,10000110110011011110
20151021,502,10011110110111011100
20151021,503,11010010010010011110
20151021,504,11001110110011011101
20151021,505,11000110110010011111
20151021,506,11000110110111011110
20151021,507,11000110110110011100
20151021,508,10000110110011011100
20151021,509,10000110010011011110
20151022,450,11110100001100011000
20151022,451,11111100111101011000
20151022,452,01110100001011001101
20151022,453,11100100001111001101
20151022,454,11100100011011011100
20151022,455,01110100001100001100
20151022,456,11101101011101010100
20151022,457,11111101111101001100
20151022,458,11111101001100010100
20151022,459,11111000000100001010
20151022,460,11111010011101011110
20151022,461,11101000111001011110
20151022,462,11101000001001010000
20151022,463,11111100001101010110
20151022,464,11111100011101001000
20151022,465,11111110001101011010
20151022,466,11101100001001000111
20151022,467,11101100001001011010
20151022,468,11101110111101011010
20151022,469,01101100001101011000
20151022,470,11101110101101010110
20151022,471,11111110011101010101
20151022,472,11111110011101011100
20151022,473,11101110001001010100
20151022,474,11101011010001011000
20151022,475,11101010101100010000
